Number,Username,             Nationality,    Car,                       Team,    Class,1,2,3,4,5,6,7,8,9
23,    Paul23,             GER,            Audi R8 LMS,               RB Audi Sport,     PRO,8,3,10,10,10,8,DNF,6,20
55,    Speedylu,           GER,            Porsche 997 CupR,          Manthey-Racing,     PRO,10,10,8,4,,6,8,3,16
3,xRacer11,GER,Lamborghini Huracan,Bavarian Racing Team,PRO,DNF,8,,,8,3,10,10,2
33,    Tangofoxx,          GER,            BMW Z4,                    Schubert Motorsport,  PRO,DNF,8,,,8,3,10,10,2
27,    ryan,       NZL,            Ferrari 458 Italia,        Veikkanens Reikkanens,     PRO,DNF,5,3,1,6,10,DNF,0,12
10,    sj2l10,          NED,            Audi R8 LMS,               RB Audi Sport,     PRO,3,DNF,DNF,0,3,2,DNF,,20
66,    jacobgames,         GBR,            McLaren 650S,              Reid Sim Racing,     PRO,,,5,8,,0,8,,
87,    Jur4iks87,          LVA,            Callaway Corvette,         Racing4Fun,     AM,1#10,0#6,,2#8,2#6,5#6,2#10,4#10,1#16
17,    elise_idos,      GBR,            Jaguar XKR GT3,            Idos Motorsport,     PRO,,,,,,,5,0,10
5,     igame23,           GER,            Lamborghini Huracan,       Bavarian Racing Team,     PRO,6,6,,,,,,,2
31,    edex,       LVA,            Callaway Corvette,         Racing4Fun,     AM,DNF,2#8,2#8,DNF,4#8,4#5,,,
99,    ryant,              GBR,            Renault Sport RS01,         Hangover Express,     PRO,2,4,DNF,,5,,1,,
53,    Andy1091,           GER,            BMW M6,                    Schubert Motorsport,      PRO,4,0,0,DNF,DNF,0,3,2,
50,    fjhoekie,           NED,            Ginetta G55,               Fryslân Bôppe,      PRO,,,1,5,,,,,
,      lorenzdougherty,   GBR,,                          ,      PRO,,,,,,,,,
64,    ryowatanabe,       GER,            Porsche 997 CupR,           Manthey-Racing,      PRO,,,4,DNF,,,,,
73,    Roextro,            DEN,            Nissan GTR,                Austria Motorsport,      PRO,,,0#5,3#10,,,,,
21,    clicman,            ITA,            Aston Martin Vantage GT3,  TeamManxMissile,      AM,,,,,,,0#6,,3#20
11,    majormetal,        GER,            Audi R8 LMS Ultra,         HellsGate Racing,      AM,0#8,DNF,,,1#5,1#4,,,
7,     TheManxMissile,    GBR,             Aston Martin Vantage GT3,  TeamManxMissile,      AM,,,,,,,,,
18,    Robert14bvb,        AUT,            Nissan GTR,                Austria Motorsport,      AM,,,,,,,,,
12,    Icebreaker,         GER,            Audi R8 LMS Ultra,         HellsGate Racing,      AM,,,,,,,,,
15,    trekbmc,            AUS,            Ferrari 458 Italia,        Veikkanens Reikkanens,      AM,,,,,,,,,
14,    klaasa,             NED,            Ginetta G55,               Fryslân Bôppe,      AM,,,,,,,,,
13,    Miguel98,           POR,            Renault Sport RS01,        Hangover Express,      AM,,,,,,,,,
51,    Comstar,            GER,            Bentley Continental GT3,   Breitling - Racing,      AM,DNF#6,0#5,0#6,0#5,,,0#6,DNF,
69,    Bene,               GER,            SaReNi Camaro,             Team: Team,      AM,,,,,,,,,
46,    Pepper_F1,          POR,            Ferrari 488,               Vortex Motorsport,      AM,,,,,,,,,
8,     Siddk99,             BAH,            Ferrari 488,               Vortex Motorsport,      AM,,,,,,,,,
555,   unclenewy,GBR,Porsche 997 CupR,Manthey-Racing,AM,,,,,,,,,0#12
